"country","chistians","muslims","unaffiliated","hindus","buddhists","folkReligions","other","jews"
"Saint Kitts and Nevis","50000","5000","5000","5000","5000","5000","5000","5000"
"Saint Pierre and Miquelon","5000","5000","5000","5000","5000","5000","5000","5000"
"Saint Vincent and the Grenadines","100000","5000","5000","5000","5000","5000","5000","5000"
"Samoa","180000","5000","5000","5000","5000","5000","5000","5000"
"San Marino","30000","5000","5000","5000","5000","5000","5000","5000"
"Sao Tome and Principe","140000","5000","20000","5000","5000","5000","5000","5000"
"Saudi Arabia","1200000","25520000","180000","310000","90000","70000","70000","5000"
"Senegal","450000","11980000","5000","5000","5000","5000","5000","5000"
"Serbia","7490000","330000","260000","5000","5000","5000","5000","5000"
"Seychelles","90000","5000","5000","5000","5000","5000","5000","5000"
"Sierra Leone","1230000","4580000","5000","5000","5000","50000","5000","5000"
"Singapore","920000","730000","830000","260000","1730000","120000","490000","5000"
"Sint Maarten","40000","5000","5000","5000","5000","5000","5000","5000"
"Slovakia","4660000","5000","780000","5000","5000","5000","5000","5000"
"Slovenia","1590000","70000","370000","5000","5000","5000","5000","5000"
"Solomon Islands","520000","5000","5000","5000","5000","5000","5000","5000"
"Somalia","5000","9310000","5000","5000","5000","5000","5000","5000"
"South Africa","40710000","860000","7450000","570000","100000","210000","170000","70000"
"South Korea","14170000","100000","22340000","5000","11050000","400000","110000","5000"
"South Sudan","6010000","610000","50000","5000","5000","3270000","5000","5000"
"Spain","36240000","980000","8740000","20000","5000","20000","10000","60000"
"Sri Lanka","1530000","2040000","5000","2830000","14450000","5000","5000","5000"
"Sudan","1810000","30490000","350000","5000","5000","950000","5000","5000"
"Suriname","270000","80000","30000","100000","5000","30000","5000","5000"
"Sweden","6310000","430000","2540000","20000","40000","20000","20000","10000"
"Switzerland","5570000","380000","1600000","40000","40000","5000","10000","20000"
"Syria","1060000","18930000","420000","5000","5000","5000","5000","5000"
"Taiwan","1280000","10000","2950000","5000","4950000","10260000","3760000","5000"
"Tajikistan","110000","6650000","100000","5000","5000","5000","5000","5000"
"Tanzania","27540000","15770000","650000","50000","5000","800000","30000","5000"
"Thailand","600000","3770000","190000","70000","64420000","60000","5000","5000"
"Timor-Leste","1120000","5000","5000","5000","5000","5000","5000","5000"
"Togo","2640000","840000","370000","5000","5000","2150000","30000","5000"
"Tokelau","5000","5000","5000","5000","5000","5000","5000","5000"
"Tonga","100000","5000","5000","5000","5000","5000","5000","5000"
"Trinidad and Tobago","880000","80000","30000","300000","5000","30000","20000","5000"
"Tunisia","20000","10430000","20000","5000","5000","5000","5000","5000"
"Turkey","320000","71330000","860000","5000","40000","20000","150000","20000"
"Turkmenistan","320000","4690000","30000","5000","5000","5000","5000","5000"
"Turks and Caicos Islands","30000","5000","5000","5000","5000","5000","5000","5000"
"Tuvalu","5000","5000","5000","5000","5000","5000","5000","5000"
"Uganda","28980000","3840000","170000","100000","5000","290000","40000","5000"
"Ukraine","38100000","560000","6690000","10000","20000","5000","5000","50000"
"United Arab Emirates","940000","5780000","90000","490000","150000","5000","60000","5000"
"United Kingdom","39890000","2960000","17220000","890000","280000","60000","460000","290000"
"United States","243060000","2770000","50980000","1790000","3570000","630000","1900000","5690000"
"United States Virgin Islands","100000","5000","5000","5000","5000","5000","5000","5000"
"Uruguay","1950000","5000","1370000","5000","5000","30000","5000","5000"
"Uzbekistan","630000","26550000","220000","5000","10000","10000","5000","10000"
"Vanuatu","220000","5000","5000","5000","5000","5000","5000","5000"
"Vatican City","5000","5000","5000","5000","5000","5000","5000","5000"
"Venezuela","25890000","90000","2900000","5000","5000","60000","20000","5000"
"Vietnam","7170000","160000","26040000","5000","14380000","39750000","350000","5000"
"Wallis and Futuna","10000","5000","5000","5000","5000","5000","5000","5000"
"Western Sahara","5000","530000","5000","5000","5000","5000","5000","5000"
"Yemen","40000","23830000","20000","150000","5000","5000","5000","5000"
"Zambia","12770000","70000","70000","10000","5000","40000","120000","5000"
"Zimbabwe","10930000","110000","990000","5000","5000","480000","40000","10000"
